id,lon,lat,angle,z_peak_first_copdem,z_peak_max_1km_copdem,x_peak_first_copdem,x_peak_max_1km_copdem,lu_peak_first_copdem,lu_peak_max_1km_copdem,z_peak_first_deltadtm,z_peak_max_1km_deltadtm,x_peak_first_deltadtm,x_peak_max_1km_deltadtm,lu_peak_first_deltadtm,lu_peak_max_1km_deltadtm,he,ev,doc,doc_used,x_doc,x_shoreline,ns,bs_deltadtm,bs_copdem,cs_deltadtm,cs_copdem,extraction_flag,tr_zone_width,coast_type_flag,veg_type,mdt,lu_trees,lu_shrub,lu_grass,lu_crop,lu_built,lu_barren,lu_snow,lu_water,lu_wet,lu_mangr,lu_moss,class_most,class_most_land
BOX_S40W064_0486,-62.014559,-39.383789,121.445076,,,,,,,,,,,,,,,10.3,,,,,,,,,13,911.1,Muddy,,0.62,0.0,28.52,59.97,5.67,0.04,5.34,0.0,0.43,0.04,0.0,0.0,Grassland,Grassland
BOX_S40W064_0441,-62.20974,-39.347872,335.481848,,,,,,,0.26,0.45,-425.0,325.0,Shrubland,Shrubland,0.08,0.17,10.32,0.33,-4000.0,-507.6,0.00044,0.00312,,0.00051,,3,342.1,Muddy,,0.62,0.0,32.65,0.21,0.0,0.0,57.54,0.0,9.52,0.08,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S40W064_0377,-62.114959,-39.682318,320.576288,1.06,1.06,1000.0,1000.0,Shrubland,Shrubland,0.23,0.23,-175.0,-175.0,Shrubland,Shrubland,-0.43,0.12,10.33,,,-803.4,,0.00036,0.02408,,,3,,Muddy,,0.6,0.0,20.6,1.02,0.0,0.0,17.77,0.0,56.16,4.46,0.0,0.0,Open water,Shrubland
BOX_S40W064_0332,-62.278972,-39.872412,217.251018,0.62,1.37,-700.0,-500.0,Open water,Shrubland,,,,,,,,,10.37,,,,,,0.0115,,0.00025,13,77.3,Muddy,,0.59,0.0,55.08,0.05,0.0,0.0,25.85,0.0,16.13,2.89,0.0,0.0,Shrubland,Shrubland
BOX_S42W064_0454,-62.394378,-40.228845,160.057551,1.34,11.23,-275.0,225.0,Barren / sparse vegetation,Grassland,0.92,8.48,-350.0,325.0,Barren / sparse vegetation,Grassland,6.21,4.61,10.45,0.98,-2075.0,-387.5,0.00119,0.02442,0.01192,0.00169,0.00186,3,883.6,Muddy,Salt-marshes,0.58,0.0,3.07,41.71,49.79,0.0,4.79,0.0,0.64,0.0,0.0,0.0,Cropland,Cropland
BOX_S42W064_0133,-62.287413,-40.554803,65.125042,1.17,1.9,75.0,275.0,Barren / sparse vegetation,Cropland,,,,,,,,,11.21,,,,,,0.00179,,0.00034,13,138.1,Muddy,,0.58,0.0,0.01,4.44,80.81,0.24,9.66,0.0,4.85,0.01,0.0,0.0,Cropland,Cropland
BOX_S42W064_0359,-62.314532,-40.869787,133.167271,2.72,8.67,-200.0,375.0,Barren / sparse vegetation,Barren / sparse vegetation,4.14,7.49,-100.0,550.0,Shrubland,Barren / sparse vegetation,6.91,2.59,11.21,9.41,-4000.0,-256.8,0.00277,0.02643,0.05796,0.00373,0.00345,3,112.0,Muddy,,0.59,0.0,1.58,66.85,1.19,0.0,26.28,0.0,4.1,0.0,0.0,0.0,Grassland,Grassland
BOX_S42W064_0109,-62.80082,-41.034611,124.16181,2.15,7.09,-150.0,725.0,Barren / sparse vegetation,Barren / sparse vegetation,1.97,3.06,-200.0,700.0,Barren / sparse vegetation,Barren / sparse vegetation,3.82,1.28,11.21,0.3,-4000.0,-222.7,0.00055,0.08674,0.02963,0.00106,0.00109,3,815.4,Muddy,,0.61,0.0,0.82,56.55,13.6,0.25,24.3,0.0,4.48,0.0,0.0,0.0,Grassland,Grassland
BOX_S42W064_0058,-63.365125,-41.154172,172.41072,6.49,6.49,125.0,125.0,Built-up,Built-up,4.38,6.11,100.0,900.0,Barren / sparse vegetation,Grassland,4.63,0.86,11.2,11.2,-2840.5,62.5,0.00476,0.11689,0.10392,0.00619,0.00685,0,153.6,Sandy,,0.63,0.0,42.19,45.19,0.0,0.32,2.94,0.0,9.37,0.0,0.0,0.0,Grassland,Grassland
BOX_S42W066_0156,-64.014563,-41.054258,201.046756,9.78,12.24,175.0,900.0,Barren / sparse vegetation,Barren / sparse vegetation,2.56,7.8,50.0,950.0,Barren / sparse vegetation,Barren / sparse vegetation,7.71,4.0,,10.0,-1177.0,26.8,0.01113,0.11045,0.06601,0.01301,0.01715,2,162.0,Sandy,,0.64,0.0,0.34,4.84,0.0,0.0,85.86,0.0,8.95,0.0,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S42W066_0300,-64.412219,-40.913827,205.618641,46.32,78.37,150.0,975.0,Barren / sparse vegetation,Shrubland,39.47,58.45,100.0,675.0,Open water,Shrubland,82.24,353.7,,10.0,-1387.1,50.3,0.00939,0.79408,0.52882,0.03562,0.03892,2,197.8,Sandy,,0.64,0.0,86.73,0.37,0.0,0.12,2.41,0.0,10.37,0.0,0.0,0.0,Shrubland,Shrubland
BOX_S42W066_0261,-64.848675,-40.827401,169.537331,10.63,16.03,200.0,850.0,Barren / sparse vegetation,Barren / sparse vegetation,10.44,11.98,300.0,800.0,Barren / sparse vegetation,Barren / sparse vegetation,6.07,7.39,,3.71,-4000.0,-73.7,0.00186,0.02794,0.03886,0.00413,0.00427,23,164.7,Sandy,,0.64,0.0,30.35,0.41,0.0,0.56,55.54,0.0,13.14,0.0,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S42W066_0208,-64.934666,-40.713231,158.795751,0.38,2.63,-750.0,-700.0,Barren / sparse vegetation,Barren / sparse vegetation,2.64,2.64,-675.0,-675.0,Barren / sparse vegetation,Barren / sparse vegetation,16.31,119.9,,,,-812.5,,0.01923,0.0061,,,23,,Muddy,Salt-marshes,0.63,0.0,81.54,0.6,0.02,0.71,8.89,0.0,8.1,0.14,0.0,0.0,Shrubland,Shrubland
BOX_S42W066_0171,-65.125045,-40.858631,93.112772,1.62,16.23,100.0,750.0,Grassland,Shrubland,1.76,16.34,100.0,825.0,Grassland,Shrubland,40.74,485.05,,0.38,-4000.0,62.5,0.00098,0.04703,0.04307,0.00141,0.00137,23,646.9,Sandy,,0.64,0.0,80.44,0.9,0.0,1.94,5.83,0.0,10.89,0.0,0.0,0.0,Shrubland,Shrubland
BOX_S42W066_0081,-65.091896,-41.35471,78.289505,11.84,14.6,175.0,600.0,Shrubland,Shrubland,5.62,16.6,0.0,800.0,Barren / sparse vegetation,Shrubland,33.18,282.64,,10.0,-3692.0,-122.1,0.00379,0.04602,0.04003,0.00519,0.00656,2,89.2,Sandy,,0.64,0.0,87.87,0.78,0.03,0.0,3.72,0.0,7.58,0.0,0.0,0.0,Shrubland,Shrubland
BOX_S42W066_0045,-65.0261,-41.631313,86.985705,9.39,11.85,150.0,625.0,Built-up,Barren / sparse vegetation,5.73,10.63,-25.0,600.0,Barren / sparse vegetation,Built-up,17.16,66.29,,10.0,-3685.9,-137.5,0.0038,0.0509,0.03267,0.00525,0.00596,2,294.6,Sandy,,0.64,0.0,26.07,20.96,0.01,9.01,38.9,0.0,4.93,0.13,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S44W066_0533,-64.60748,-42.23026,6.696446,53.03,76.21,175.0,425.0,Barren / sparse vegetation,Shrubland,39.1,75.81,100.0,775.0,Open water,Shrubland,73.56,52.85,,10.0,-1452.3,75.1,0.00867,1.57027,0.53296,0.03372,0.04072,2,209.5,Sandy,,0.63,0.0,72.47,6.3,0.0,0.0,10.7,0.0,10.54,0.0,0.0,0.0,Shrubland,Shrubland
BOX_S44W066_0470,-64.332639,-42.417673,324.99592,9.89,18.57,200.0,950.0,Barren / sparse vegetation,Shrubland,8.33,11.91,275.0,975.0,Barren / sparse vegetation,Shrubland,32.35,463.64,,10.0,-2876.0,101.3,0.0043,0.04798,0.10023,0.00671,0.00738,2,1039.7,Sandy,Salt-marshes,0.63,0.0,56.42,13.03,0.0,0.14,21.53,0.0,8.87,0.0,0.0,0.0,Shrubland,Shrubland
BOX_S44W066_0420,-64.179269,-42.245359,170.231802,55.71,,1600.0,,Grassland,,16.13,16.13,150.0,150.0,Shrubland,Shrubland,49.35,251.79,11.46,7.3,-4000.0,-49.4,0.00269,0.0809,0.03379,0.00645,0.01185,3,310.6,Sandy,,0.63,0.0,73.73,10.83,0.0,0.0,9.23,0.0,6.21,0.0,0.0,0.0,Shrubland,Shrubland
BOX_S44W064_0137,-63.989846,-42.136256,324.197984,33.98,33.98,400.0,400.0,Barren / sparse vegetation,Barren / sparse vegetation,10.15,42.68,375.0,1100.0,Barren / sparse vegetation,Barren / sparse vegetation,49.45,285.89,11.43,11.43,-2315.0,162.5,0.00589,0.04776,0.14307,0.0092,0.01789,0,235.0,Sandy,,0.64,0.0,35.86,30.22,0.0,0.0,22.31,0.0,11.61,0.0,0.0,0.0,Shrubland,Shrubland
BOX_S44W064_0083,-63.599526,-42.346525,88.809621,7.76,10.64,25.0,525.0,Barren / sparse vegetation,Barren / sparse vegetation,6.14,8.19,-25.0,350.0,Barren / sparse vegetation,Barren / sparse vegetation,6.84,14.28,11.51,9.84,-2875.0,-62.5,0.00426,0.16374,0.08865,0.00635,0.0068,3,258.3,Sandy,,0.63,0.0,7.54,41.82,0.3,0.03,16.59,0.0,33.73,0.0,0.0,0.0,Grassland,Grassland
BOX_S44W064_0154,-63.647817,-42.324049,276.928294,,,,,,,0.55,1.93,375.0,525.0,Grassland,Grassland,1.87,7.59,11.43,0.93,-25.0,348.9,0.00831,0.02097,,0.00914,,3,48.5,Sandy,,0.63,0.0,13.5,18.7,0.06,0.06,24.44,0.0,43.17,0.07,0.0,0.0,Open water,Barren / sparse vegetation
BOX_S44W064_0035,-63.634493,-42.747821,84.440409,43.88,49.78,325.0,800.0,Grassland,Grassland,43.85,49.35,375.0,850.0,Grassland,Grassland,44.67,39.62,11.86,11.86,-2340.3,37.5,0.00575,0.12994,0.15263,0.02118,0.02159,0,65.7,Sandy,,0.61,0.0,0.46,84.4,0.58,0.15,5.7,0.0,8.7,0.0,0.0,0.0,Grassland,Grassland
